,id,user,created_at,text,tweetinput,positive,neutral,negative,compound
17,1004504037084094465,thebogflower,2018-06-06 23:23:19,"RT @writeranonymous: There was a mad Titan from space,
Born with a grimacing face,
He fought for a gauntlet,
And beat some heroes to flaunt…","rt @writeranonymous: there was a mad titan from space,
born with a grimacing face,
he fought for a gauntlet,
and beat some heroes to flaunt…",0.113,0.616,0.271,-0.5574
18,1004503943064387584,wejayx_ix,2018-06-06 23:22:57,RT @DewRelease: คัมแบคนี้ ขอธีม #EXO x #MARVEL Studio ค่ะ เป็นทุกอย่างให้เธอแล้ว ธานอส ไอรอนแมน เดดพูล เช่าชุดเองบ้าง แฟนคลับสปอยล์บ้าง 555…,rt @dewrelease: คัมแบคนี้ ขอธีม #exo x #marvel studio ค่ะ เป็นทุกอย่างให้เธอแล้ว ธานอส ไอรอนแมน เดดพูล เช่าชุดเองบ้าง แฟนคลับสปอยล์บ้าง 555…,0.0,1.0,0.0,0.0
19,1004503930796036096,ums0714,2018-06-06 23:22:54,"RT @TSUYOSH59393342: 何これファルコン普通に強いよ
こんな企画批判をうむだけ
#MARVEL 
#TBSラジオ https://t.co/vjRfzpN260","rt @tsuyosh59393342: 何これファルコン普通に強いよ
こんな企画批判をうむだけ
#marvel 
#tbsラジオ https://t.co/vjrfzpn260",0.0,1.0,0.0,0.0
20,1004503915361009664,MarvelousNews,2018-06-06 23:22:50,"#Marvel Legends 6"" Spider-Man SP//dr BAF Wave Hits England https://t.co/UXAQQVzgyN https://t.co/8hE701G0ur","#marvel legends 6"" spider-man sp//dr baf wave hits england https://t.co/uxaqqvzgyn https://t.co/8he701g0ur",0.0,1.0,0.0,0.0
21,1004503912773246976,rtsomrwf2911,2018-06-06 23:22:50,"RT @sheerazhasan: Muslim superhero film by @marvel 'in the works'. @PriyankaChopra might play female character Kamala Khan, who first appea…","rt @sheerazhasan: muslim superhero film by @marvel 'in the works'. @priyankachopra might play female character kamala khan, who first appea…",0.112,0.888,0.0,0.34
22,1004503905017921537,oLRgUntJnCNUwXM,2018-06-06 23:22:48,"RT @4kmiddlebrook: YES I BEAT the Feds, SUING 1 BILLION. I AM #WINNING. #REALIRONMAN Game 2 #NBAFINALS. FOLLOW https://t.co/SNl0uiPgba GIVE…","rt @4kmiddlebrook: yes i beat the feds, suing 1 billion. i am #winning. #realironman game 2 #nbafinals. follow https://t.co/snl0uipgba give…",0.144,0.745,0.112,0.1531
23,1004503831655272448,yukazayama,2018-06-06 23:22:30,"RT @dream1211a: 逆にさぁ「アルコ＆ピースの漫才めちゃくちゃつまらないから芸能界から脱退させよう！」 って企画ができたらどうする？？嫌じゃない？アルコ＆ピースのファンも嫌な思いするし当の本人もいやじゃない？
自分がされて嫌な事は他人にやらないって小学校で習わなかっ…","rt @dream1211a: 逆にさぁ「アルコ＆ピースの漫才めちゃくちゃつまらないから芸能界から脱退させよう！」 って企画ができたらどうする？？嫌じゃない？アルコ＆ピースのファンも嫌な思いするし当の本人もいやじゃない？
自分がされて嫌な事は他人にやらないって小学校で習わなかっ…",0.0,1.0,0.0,0.0
24,1004503794040868864,maisierobertso7,2018-06-06 23:22:21,"RT @sheerazhasan: Muslim superhero film by @marvel 'in the works'. @PriyankaChopra might play female character Kamala Khan, who first appea…","rt @sheerazhasan: muslim superhero film by @marvel 'in the works'. @priyankachopra might play female character kamala khan, who first appea…",0.112,0.888,0.0,0.34
25,1004503782959411200,TSUYOSH59393342,2018-06-06 23:22:19,"何これファルコン普通に強いよ
こんな企画批判をうむだけ
#MARVEL 
#TBSラジオ https://t.co/vjRfzpN260","何これファルコン普通に強いよ
こんな企画批判をうむだけ
#marvel 
#tbsラジオ https://t.co/vjrfzpn260",0.0,1.0,0.0,0.0
26,1004503761254051842,spider_ultimate,2018-06-06 23:22:14,"RT @MarvelousNews: #Marvel Legends 6"" PS4 Spider-Man Gamestop Exclusive Figure https://t.co/QogXul25rd https://t.co/LscshpKQzr","rt @marvelousnews: #marvel legends 6"" ps4 spider-man gamestop exclusive figure https://t.co/qogxul25rd https://t.co/lscshpkqzr",0.12,0.88,0.0,0.128
27,1004503732204331009,erravitanwer,2018-06-06 23:22:07,"RT @fundingmonster: Please #support Brand #comic #donate here #today 😀
⬇️
https://t.co/nI3HnJpejQ ❤️
⬆️
#superheroes #comics #comicbooks #m…","rt @fundingmonster: please #support brand #comic #donate here #today 😀
⬇️
https://t.co/ni3hnjpejq ❤️
⬆️
#superheroes #comics #comicbooks #m…",0.194,0.806,0.0,0.5859
28,1004503700218564608,latoyiaellis181,2018-06-06 23:21:59,"RT @4kmiddlebrook: YES I BEAT the Feds, SUING 1 BILLION. I AM #WINNING. #REALIRONMAN Game 2 #NBAFINALS. FOLLOW https://t.co/SNl0uiPgba GIVE…","rt @4kmiddlebrook: yes i beat the feds, suing 1 billion. i am #winning. #realironman game 2 #nbafinals. follow https://t.co/snl0uipgba give…",0.144,0.745,0.112,0.1531
29,1004503697752297474,erravitanwer,2018-06-06 23:21:58,"RT @monsterfundings: Please #support Brand #comic #donate here #today 😀
⬇️
https://t.co/elsDkEaZxi ❤️
⬆️
#superheroes #comics #comicbooks #…","rt @monsterfundings: please #support brand #comic #donate here #today 😀
⬇️
https://t.co/elsdkeazxi ❤️
⬆️
#superheroes #comics #comicbooks #…",0.194,0.806,0.0,0.5859
30,1004504013797113856,ncgazette,2018-06-06 23:23:14,"@AP isn't this something, a country ruled by #AHTrump,  #Kardashians and #KanyeWest  Tell me this is what the Found… https://t.co/rhhL9t0fkk","@ap isn't this something, a country ruled by #ahtrump,  #kardashians and #kanyewest  tell me this is what the found… https://t.co/rhhl9t0fkk",0.0,1.0,0.0,0.0
31,1004503890107117568,YangYiming1988,2018-06-06 23:22:44,RT @Harryslaststand: We must never allow the struggles and sacrifices of my generation to be hijacked by cowardly oligarchs like #donaldtru…,rt @harryslaststand: we must never allow the struggles and sacrifices of my generation to be hijacked by cowardly oligarchs like #donaldtru…,0.178,0.657,0.165,0.0885
32,1004503870855245824,33minutestolive,2018-06-06 23:22:40,President Trump could invite Kim Jong Un to Mar-a-Lago for follow-up summit: official https://t.co/mD5dtbn6XW… https://t.co/iLtmzL0ucp,president trump could invite kim jong un to mar-a-lago for follow-up summit: official https://t.co/md5dtbn6xw… https://t.co/iltmzl0ucp,0.103,0.897,0.0,0.1531
33,1004503728290975750,ojcole985,2018-06-06 23:22:06,RT @Harryslaststand: We must never allow the struggles and sacrifices of my generation to be hijacked by cowardly oligarchs like #donaldtru…,rt @harryslaststand: we must never allow the struggles and sacrifices of my generation to be hijacked by cowardly oligarchs like #donaldtru…,0.178,0.657,0.165,0.0885
34,1004503720590077952,myLusciousLife,2018-06-06 23:22:04,"This is totally the Orange doofus in the White House today, sadly.

America, take note!

#KaiserWilhelm… https://t.co/GbVyzRTrHJ","this is totally the orange doofus in the white house today, sadly.

america, take note!

#kaiserwilhelm… https://t.co/gbvyzrtrhj",0.0,0.838,0.162,-0.4753
35,1004503649060564992,BrianCraigShow,2018-06-06 23:21:47,Did #Canada Burn down the White House? #maga #DonaldTrump. Listen to today’s #BrianCraigShow.  https://t.co/Lj7wNZcIbO,did #canada burn down the white house? #maga #donaldtrump. listen to today’s #briancraigshow.  https://t.co/lj7wnzcibo,0.0,1.0,0.0,0.0
36,1004503486225113088,ClubCarmelle,2018-06-06 23:21:08,Melania Trump makes appearance at FEMA briefing @CNNPolitics https://t.co/U1gkJohjCI #MelaniaTrump #DonaldTrump… https://t.co/B1GWqw7hEf,melania trump makes appearance at fema briefing @cnnpolitics https://t.co/u1gkjohjci #melaniatrump #donaldtrump… https://t.co/b1gwqw7hef,0.0,1.0,0.0,0.0
37,1004503480856465413,heavyde65,2018-06-06 23:21:07,#Argentina Cancels ‘Friendly’ Match with #Israel– IMEMC News https://t.co/jC9FJpyZyn #Gaza #BreakGazaSeige… https://t.co/DvxXppNtw0,#argentina cancels ‘friendly’ match with #israel– imemc news https://t.co/jc9fjpyzyn #gaza #breakgazaseige… https://t.co/dvxxppntw0,0.0,0.853,0.147,-0.2263
38,1004503454730080256,Lalita0007,2018-06-06 23:21:01,"RT @GegeRpz: El miedo vive en el régimen!
Soltaron a Holt, ahora a los Gerentes de Chevron...
Le tienen pánico a la administración de #Dona…","rt @gegerpz: el miedo vive en el régimen!
soltaron a holt, ahora a los gerentes de chevron...
le tienen pánico a la administración de #dona…",0.0,1.0,0.0,0.0
